lv1_code,product_class_name,name,status,brand,attribute.dw_size_code.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
2024SAC06_red_sm,Size,2024SAC06_red_sm,active,Maaji,PEQUEÑO,7702781056728,PEQUEÑO,100000,COP Price
2024SAC06_red_md,Size,2024SAC06_red_md,active,Maaji,MEDIO,7702781056735,MEDIO,100000,COP Price
2024SAC06_red_lg,Size,2024SAC06_red_lg,active,Maaji,GRANDE,7702781056742,GRANDE,100000,COP Price
2024SBC06_red_sm,Size,2024SBC06_red_sm,active,Maaji,PEQUEÑO,7702781060497,PEQUEÑO,100000,COP Price
2024SBC06_red_md,Size,2024SBC06_red_md,active,Maaji,MEDIO,7702781060503,MEDIO,100000,COP Price
2024SBC06_red_lg,Size,2024SBC06_red_lg,active,Maaji,GRANDE,7702781060510,GRANDE,100000,COP Price
2043SAC09_yellow_sm,Size,2043SAC09_yellow_sm,active,Maaji,PEQUEÑO,7702781056773,PEQUEÑO,100000,COP Price
2043SAC09_yellow_md,Size,2043SAC09_yellow_md,active,Maaji,MEDIO,7702781056780,MEDIO,100000,COP Price
2043SAC09_yellow_lg,Size,2043SAC09_yellow_lg,active,Maaji,GRANDE,7702781056797,GRANDE,100000,COP Price
2043SBC09_yellow_sm,Size,2043SBC09_yellow_sm,active,Maaji,PEQUEÑO,7702781059323,PEQUEÑO,100000,COP Price
2043SBC09_yellow_md,Size,2043SBC09_yellow_md,active,Maaji,MEDIO,7702781059330,MEDIO,100000,COP Price
2043SBC09_yellow_lg,Size,2043SBC09_yellow_lg,active,Maaji,GRANDE,7702781059347,GRANDE,100000,COP Price
2062SBC13_blue_sm,Size,2062SBC13_blue_sm,active,Maaji,PEQUEÑO,7702781057572,PEQUEÑO,126000,COP Price
2062SBC13_blue_md,Size,2062SBC13_blue_md,active,Maaji,MEDIO,7702781057589,MEDIO,126000,COP Price
2062SBC13_blue_lg,Size,2062SBC13_blue_lg,active,Maaji,GRANDE,7702781057596,GRANDE,126000,COP Price
2062SCC13_blue_sm,Size,2062SCC13_blue_sm,active,Maaji,PEQUEÑO,7702781059378,PEQUEÑO,126000,COP Price
2062SCC13_blue_md,Size,2062SCC13_blue_md,active,Maaji,MEDIO,7702781059385,MEDIO,126000,COP Price
2062SCC13_blue_lg,Size,2062SCC13_blue_lg,active,Maaji,GRANDE,7702781059392,GRANDE,126000,COP Price
2110SBC04_blue_sm,Size,2110SBC04_blue_sm,active,Maaji,PEQUEÑO,7702781056674,PEQUEÑO,126000,COP Price
2110SBC04_blue_md,Size,2110SBC04_blue_md,active,Maaji,MEDIO,7702781056681,MEDIO,126000,COP Price
2110SBC04_blue_lg,Size,2110SBC04_blue_lg,active,Maaji,GRANDE,7702781056698,GRANDE,126000,COP Price
2110SDC04_blue_sm,Size,2110SDC04_blue_sm,active,Maaji,PEQUEÑO,7702781059279,PEQUEÑO,126000,COP Price
2110SDC04_blue_md,Size,2110SDC04_blue_md,active,Maaji,MEDIO,7702781059286,MEDIO,126000,COP Price
2110SDC04_blue_lg,Size,2110SDC04_blue_lg,active,Maaji,GRANDE,7702781059293,GRANDE,126000,COP Price
2119SOH03_yellow_sm,Size,2119SOH03_yellow_sm,active,Maaji,PEQUEÑO,7702781056827,PEQUEÑO,245000,COP Price
2119SOH03_yellow_md,Size,2119SOH03_yellow_md,active,Maaji,MEDIO,7702781056834,MEDIO,245000,COP Price
2119SOH03_yellow_lg,Size,2119SOH03_yellow_lg,active,Maaji,GRANDE,7702781056841,GRANDE,245000,COP Price
2119SOR03_yellow_sm,Size,2119SOR03_yellow_sm,active,Maaji,PEQUEÑO,7702781058975,PEQUEÑO,245000,COP Price
2119SOR03_yellow_md,Size,2119SOR03_yellow_md,active,Maaji,MEDIO,7702781058982,MEDIO,245000,COP Price
2119SOR03_yellow_lg,Size,2119SOR03_yellow_lg,active,Maaji,GRANDE,7702781058999,GRANDE,245000,COP Price
2130SBC02_blue_sm,Size,2130SBC02_blue_sm,active,Maaji,PEQUEÑO,7702781059224,PEQUEÑO,126000,COP Price
2130SBC02_blue_md,Size,2130SBC02_blue_md,active,Maaji,MEDIO,7702781059231,MEDIO,126000,COP Price
2130SBC02_blue_lg,Size,2130SBC02_blue_lg,active,Maaji,GRANDE,7702781059248,GRANDE,126000,COP Price
2130SCC02_blue_sm,Size,2130SCC02_blue_sm,active,Maaji,PEQUEÑO,7702781057121,PEQUEÑO,126000,COP Price
2130SCC02_blue_md,Size,2130SCC02_blue_md,active,Maaji,MEDIO,7702781057138,MEDIO,126000,COP Price
2130SCC02_blue_lg,Size,2130SCC02_blue_lg,active,Maaji,GRANDE,7702781057145,GRANDE,126000,COP Price
2194SBC01_yellow_sm,Size,2194SBC01_yellow_sm,active,Maaji,PEQUEÑO,7702781059422,PEQUEÑO,126000,COP Price
2194SBC01_yellow_md,Size,2194SBC01_yellow_md,active,Maaji,MEDIO,7702781059439,MEDIO,126000,COP Price
2194SBC01_yellow_lg,Size,2194SBC01_yellow_lg,active,Maaji,GRANDE,7702781059446,GRANDE,126000,COP Price
2194SDC01_yellow_sm,Size,2194SDC01_yellow_sm,active,Maaji,PEQUEÑO,7702781057473,PEQUEÑO,126000,COP Price
2194SDC01_yellow_md,Size,2194SDC01_yellow_md,active,Maaji,MEDIO,7702781057480,MEDIO,126000,COP Price
2194SDC01_yellow_lg,Size,2194SDC01_yellow_lg,active,Maaji,GRANDE,7702781057497,GRANDE,126000,COP Price
3007SAC22_blue_sm,Size,3007SAC22_blue_sm,active,Maaji,PEQUEÑO,7702781058876,PEQUEÑO,95000,COP Price
3007SAC22_blue_md,Size,3007SAC22_blue_md,active,Maaji,MEDIO,7702781058883,MEDIO,95000,COP Price
3007SAC22_blue_lg,Size,3007SAC22_blue_lg,active,Maaji,GRANDE,7702781058890,GRANDE,95000,COP Price
3007SBC22_blue_sm,Size,3007SBC22_blue_sm,active,Maaji,PEQUEÑO,7702781058272,PEQUEÑO,95000,COP Price
3007SBC22_blue_md,Size,3007SBC22_blue_md,active,Maaji,MEDIO,7702781058289,MEDIO,95000,COP Price
3007SBC22_blue_lg,Size,3007SBC22_blue_lg,active,Maaji,GRANDE,7702781058296,GRANDE,95000,COP Price
3007SCC22_blue_sm,Size,3007SCC22_blue_sm,active,Maaji,PEQUEÑO,7702781058920,PEQUEÑO,95000,COP Price
3007SCC22_blue_md,Size,3007SCC22_blue_md,active,Maaji,MEDIO,7702781058937,MEDIO,95000,COP Price
3007SCC22_blue_lg,Size,3007SCC22_blue_lg,active,Maaji,GRANDE,7702781058944,GRANDE,95000,COP Price
3007SDC22_blue_sm,Size,3007SDC22_blue_sm,active,Maaji,PEQUEÑO,7702781058821,PEQUEÑO,95000,COP Price
3007SDC22_blue_md,Size,3007SDC22_blue_md,active,Maaji,MEDIO,7702781058838,MEDIO,95000,COP Price
3007SDC22_blue_lg,Size,3007SDC22_blue_lg,active,Maaji,GRANDE,7702781058845,GRANDE,95000,COP Price
3007SAC23_brown_sm,Size,3007SAC23_brown_sm,active,Maaji,PEQUEÑO,7702781059125,PEQUEÑO,95000,COP Price
3007SAC23_brown_md,Size,3007SAC23_brown_md,active,Maaji,MEDIO,7702781059132,MEDIO,95000,COP Price
3007SAC23_brown_lg,Size,3007SAC23_brown_lg,active,Maaji,GRANDE,7702781059149,GRANDE,95000,COP Price
3007SBC23_brown_sm,Size,3007SBC23_brown_sm,active,Maaji,PEQUEÑO,7702781059026,PEQUEÑO,95000,COP Price
3007SBC23_brown_md,Size,3007SBC23_brown_md,active,Maaji,MEDIO,7702781059033,MEDIO,95000,COP Price
3007SBC23_brown_lg,Size,3007SBC23_brown_lg,active,Maaji,GRANDE,7702781059040,GRANDE,95000,COP Price
3007SCC23_brown_sm,Size,3007SCC23_brown_sm,active,Maaji,PEQUEÑO,7702781059071,PEQUEÑO,95000,COP Price
3007SCC23_brown_md,Size,3007SCC23_brown_md,active,Maaji,MEDIO,7702781059088,MEDIO,95000,COP Price
3007SCC23_brown_lg,Size,3007SCC23_brown_lg,active,Maaji,GRANDE,7702781059095,GRANDE,95000,COP Price
3007SDC23_brown_sm,Size,3007SDC23_brown_sm,active,Maaji,PEQUEÑO,7702781057275,PEQUEÑO,95000,COP Price
3007SDC23_brown_md,Size,3007SDC23_brown_md,active,Maaji,MEDIO,7702781057282,MEDIO,95000,COP Price
3007SDC23_brown_lg,Size,3007SDC23_brown_lg,active,Maaji,GRANDE,7702781057299,GRANDE,95000,COP Price
3072SBC07_yellow_sm,Size,3072SBC07_yellow_sm,active,Maaji,PEQUEÑO,7702781059477,PEQUEÑO,126000,COP Price
3072SBC07_yellow_md,Size,3072SBC07_yellow_md,active,Maaji,MEDIO,7702781059484,MEDIO,126000,COP Price
3072SBC07_yellow_lg,Size,3072SBC07_yellow_lg,active,Maaji,GRANDE,7702781059491,GRANDE,126000,COP Price
3072SCC07_yellow_sm,Size,3072SCC07_yellow_sm,active,Maaji,PEQUEÑO,7702781057671,PEQUEÑO,126000,COP Price
3072SCC07_yellow_md,Size,3072SCC07_yellow_md,active,Maaji,MEDIO,7702781057688,MEDIO,126000,COP Price
3072SCC07_yellow_lg,Size,3072SCC07_yellow_lg,active,Maaji,GRANDE,7702781057695,GRANDE,126000,COP Price
