lv1_code,product_class_name,name,status,brand,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.saya_cut.single_option,image.1.url,image.1.description,image.1.is_primary,variation_children_code
2024SAC06,Cut,2024SAC06,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,2024SAC06_red
2024SBC06,Cut,2024SBC06,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2024SBC06_red
2043SAC09,Cut,2043SAC09,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,2043SAC09_yellow
2043SBC09,Cut,2043SBC09,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2043SBC09_yellow
2062SBC13,Cut,2062SBC13,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2062SBC13_blue
2062SCC13,Cut,2062SCC13,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2062SCC13_blue
2110SBC04,Cut,2110SBC04,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2110SBC04_blue
2110SDC04,Cut,2110SDC04,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2110SDC04_blue
2119SOH03,Cut,2119SOH03,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SOH,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2119SOH03_yellow
2119SOR03,Cut,2119SOR03,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SOR,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2119SOR03_yellow
2130SBC02,Cut,2130SBC02,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2130SBC02_blue
2130SCC02,Cut,2130SCC02,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,2130SCC02_blue
2194SBC01,Cut,2194SBC01,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,2194SBC01_yellow
2194SDC01,Cut,2194SDC01,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,2194SDC01_yellow
3007SAC22,Cut,3007SAC22,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC22_blue
3007SBC22,Cut,3007SBC22,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC22_blue
3007SCC22,Cut,3007SCC22,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC22_blue
3007SDC22,Cut,3007SDC22,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC22_blue
3007SAC23,Cut,3007SAC23,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SAC,https://res.cloudinary.com/maaji/image/upload/v1520432490/Cuts/hipster_cut.jpg,hipster_cut,,3007SAC23_brown
3007SBC23,Cut,3007SBC23,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3007SBC23_brown
3007SCC23,Cut,3007SCC23,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3007SCC23_brown
3007SDC23,Cut,3007SDC23,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SDC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/chi_chi_cut.jpg,chi_chi_cut,,3007SDC23_brown
3072SBC07,Cut,3072SBC07,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SBC,https://res.cloudinary.com/maaji/image/upload/v1520432489/Cuts/signature_cut.jpg,signature_cut,,3072SBC07_yellow
3072SCC07,Cut,3072SCC07,active,Maaji,SWIMWEAR > BOTTOMS,default,SWIMWEAR > BOTTOMS,MaajiAU,SWIMWEAR > BOTTOMS,MaajiEUR,SWIMWEAR > BOTTOMS,MaajiUS,SWIMWEAR > BOTTOMS,MaajiCO,SCC,https://res.cloudinary.com/maaji/image/upload/v1520432488/Cuts/cheeky_cut.jpg,cheeky_cut,,3072SCC07_yellow
