lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.booolean,attribute.us_online.boolean,attribute.cup_size.single_option,category.1.path,category.1.category_set,category.2.path,category.2.category_set,category.3.path,category.3.category_set,category.4.path,category.4.category_set,category.5.path,category.5.category_set,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,image.1.url,image.1.description,image.1.is_primary,image.2.url,image.2.description,image.2.is_primary,image.3.url,image.3.description,image.3.is_primary,image.4.url,image.4.description,image.4.is_primary,image.5.url,image.5.description,image.5.is_primary,attribute.saya_color.single_option,attribute.saya_ean.string,attribute.saya_size.single_option,price_item.1.amount,price_item.1.price_book
1233XTW02,Single Level Product Style,1233XTW02,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",SANDWAVES BEACH TOWEL,TALLA ÚNICA,<p>No remojar.<br/>No planchar.<br/>No usar jabones con decolorante</p>,<p>Toalla doble faz rectangular con dos bolsillos en esquinas inferiores y flecos en ambos lados</p>,SANDWAVES BEACH TOWEL,Toalla doble faz rectangular con dos bolsillos en esquinas inferiores y flecos en ambos lados,,,,Nuestra modelo usa talla colombiana: TALLA ÚNICA,,SUMMER 2018,COLOMBIA,MANTA DE PLAYA 100% POLIÉSTER,ANARANJADO,ACCESORIOS,<h4>SANDWAVES BEACH TOWEL</h4>,MUJERES,active,2018,63.07.90.90.00,https://res.cloudinary.com/maaji/image/upload/v1517700023/Summer2018/1233XTW02_orange_9.jpg,1233XTW02_orange_9,yes,,,,,,,,,,,,,anaranjado,7702781030902,TALLA ÚNICA,85000,COP Price
1238XCP05,Single Level Product Style,1238XCP05,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",OASIS KNOT VISOR,TALLA ÚNICA,<p>No remojar.<br/>No planchar. <br/>No usar jabones con decolorante</P>,<p>Visera de playa con moño posterior</p>,OASIS KNOT VISOR,Visera de playa con moño posterior,,,,Nuestra modelo usa talla colombiana: TALLA ÚNICA,,SUMMER 2018,COLOMBIA,VISERA 100% POLIÉSTER,NEGRO,ACCESORIOS,<h4>OASIS KNOT VISOR</h4>,MUJERES,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700099/Summer2018/1238XCP05_red_9.jpg,1238XCP05_red_9,yes,,,,,,,,,,,,,rojo,7702781029944,TALLA ÚNICA,45000,COP Price
1238XCP06,Single Level Product Style,1238XCP06,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",WINE KNOT VISOR,TALLA ÚNICA,<p>No remojar.<br/>No planchar.<br/>No usar jabones con decolorante</p>,<p>Visera de playa con moño posterior</p>,WINE KNOT VISOR,Visera de playa con moño posterior,,,,Nuestra modelo usa talla colombiana: TALLA ÚNICA,,SUMMER 2018,COLOMBIA,VISERA 100% POLIÉSTER,NEGRO,ACCESORIOS,<h4>WINE KNOT VISOR</h4>,MUJERES,active,2018,65.07.00.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700119/Summer2018/1238XCP06_orange_9.jpg,1238XCP06_orange_9,yes,,,,,,,,,,,,,anaranjado,7702781029937,TALLA ÚNICA,45000,COP Price
1244XPK02,Single Level Product Style,1244XPK02,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",ASSORTED FESTIVAL BIKINI BAG,TALLA ÚNICA,<p>No remojar<br/>No planchar.<br/>Lavar por el revés.<br/>No usar jabones con decolorante</p>,"<p>Paquete de dos bolsas para empacar, con cierres y gran capacidad. <br/>En tela liviana</p>",ASSORTED FESTIVAL BIKINI BAG,"Paquete de dos bolsas para empacar, con cierres y gran capacidad, en tela liviana",,,,Nuestra modelo usa talla colombiana: TALLA ÚNICA,,SUMMER 2018,COLOMBIA,ORGANIZADOR 100% POLIÉSTER,MULTICOLOR,ACCESORIOS,<h4>ASSORTED FESTIVAL BIKINI BAG</h4>,MUJERES,active,2018,42.02.32.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700195/Summer2018/1244XPK02_assorted_9.jpg,1244XPK02_assorted_9,,,,,,,,,,,,,,multicolor,7702781029876,TALLA ÚNICA,47000,COP Price
1245XVR02,Single Level Product Style,1245XVR02,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",ASSORTED ROLL ME UP,TALLA ÚNICA,<p>No remojar<br/>No planchar.<br/>Lavar por el revés.<br/>No usar jabones con decolorante</p>,"<p>Bolso empacable en su bolsillo interno, sin forrar.<br/>En tela liviana</p>",ASSORTED ROLL ME UP,"Bolso empacable en su bolsillo interno, sin forrar, en tela liviana",,,,Nuestra modelo usa talla colombiana: TALLA ÚNICA,,SUMMER 2018,COLOMBIA,BOLSO 100% POLIÉSTER,MULTICOLOR,ACCESORIOS,<h4>ASSORTED ROLL ME UP</h4>,MUJERES,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700251/Summer2018/1245XVR02_assorted_10.jpg,1245XVR02_assorted_10,,https://res.cloudinary.com/maaji/image/upload/v1517700158/Summer2018/1245XVR02_assorted_9.jpg,1245XVR02_assorted_9,,https://res.cloudinary.com/maaji/image/upload/v1517700292/Summer2018/1245XVR02_assorted_11.jpg,1245XVR02_assorted_11,,https://res.cloudinary.com/maaji/image/upload/v1517700302/Summer2018/1245XVR02_assorted_12.jpg,1245XVR02_assorted_12,,https://res.cloudinary.com/maaji/image/upload/v1517700313/Summer2018/1245XVR02_assorted_13.jpg,1245XVR02_assorted_13,,multicolor,7702781030285,TALLA ÚNICA,71000,COP Price
1268XWK01,Single Level Product Style,1268XWK01,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.</p> ",MISTERY LOVELY WEEKENDER,TALLA ÚNICA,<p>No remojar.<br/>No planchar.<br/>Lavar por el revés.<br/>No usar jabones con decolorante</p>,<p>Maletín para fin de semana con bolsillo inferior para zapatos.<br/>Bolsillo delantero con cierre para artículos pequeños.<br/>Cargadera larga graduable y cargaderas cortas.</p>,MISTERY LOVELY WEEKENDER,"Maletín para fin de semana con bolsillo inferior para zapatos, bolsillo delantero con cierre para artículos pequeños, cargadera larga graduable y cargaderas cortas.",,,,Nuestra modelo usa talla colombiana: TALLA ÚNICA,,SUMMER 2018,COLOMBIA,MALETÍN 46% NYLON 36% POLIÉSTER 7% ALGODÓN 7% VISCOSA 4% SPANDEX,NEGRO,ACCESORIOS,<h4>MISTERY LOVELY WEEKENDER</h4>,MUJERES,active,2018,42.02.22.00.00,https://res.cloudinary.com/maaji/image/upload/v1517700911/Summer2018/1268XWK01_black_9.jpg,1268XWK01_black_9,yes,,,,,,,,,,,,,aguamarina,7702781028756,TALLA ÚNICA,250000,COP Price
1269XBP01,Single Level Product Style,1269XBP01,active,Maaji,Colombia,1,1,,ACCESORIOS,Maaji_CO,ACCESORIES,default,ACCESORIES,Maaji_AU,ACCESORIES,Maaji_EUR,ACCESORIES,Maaji_US,"Entrega
Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000. 
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de 
entrega dependerán del destino final pero generalmente son de 2 a 3 días hábiles. 

Devoluciones
Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo. 
El producto debe ser devuelto en su estado original. No se aceptarán productos usados, 
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a 
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
adicional a lo requerido por las leyes colombianas de protección al consumidor.","<p><b>Entrega</b>
<br/>Envió GRATUITO dentro de COLOMBIA para pedidos superiores a COP $250.000.
Los pedidos inferiores a $250.000 incurrirán en una tarifa de envío. Los plazos de
entrega dependerán del destino final, pero generalmente son de 2 a 3 días hábiles.</p>
<br/>
<p><b>Devoluciones</b>
<br/>Se aceptan devoluciones y cambios en la mercancía dentro de los 30 días de recibo.
El producto debe ser devuelto en su estado original. No se aceptarán productos usados,
lavados o usados de otra manera. Todos los productos deben tener las etiquetas originales
y el protector higiénico intactos. Los cargos de envío originales no serán reembolsados a
menos que los artículos de devolución estén defectuosos. Nuestra política de devoluciones es
