lv1_code,product_class_name,name,status,brand,attribute.country_of_origin.string,attribute.co_online.boolean,attribute.us_online.boolean,attribute.cup_size.single_option,attribute.delivery_returns.text,attribute.deliveryreturns.html,attribute.description.html,attribute.dw_size_code.single_option,attribute.fabric_care.html,attribute.online_description.html,attribute.online_name.string,attribute.page_description.text,attribute.page_keywords.string,attribute.page_url.string,attribute.short_description.html,attribute.size_fit.text,attribute.tax_class.string,attribute.saya_collection.single_option,attribute.saya_country.single_option,attribute.saya_fabric_content.string,attribute.saya_group.single_option,attribute.saya_line.single_option,attribute.saya_long_description.html,attribute.saya_product_department.single_option,attribute.saya_product_status.string,attribute.saya_season.single_option,attribute.saya_tariff_code.string,attribute.saya_color.single_option,attribute.saya_size.single_option
1251xpk01_multicolor_os,Single Level Product Style,1251XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ASSORTED TRAVEL POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Cosmetic bag with big capacity, ony one pocket</p>",ASSORTED TRAVEL POCKET,"Cosmetic bag with big capacity, ony one pocket",,,,,,SPRING 2018,COLOMBIA,,,,ASSORTED TRAVEL POCKET,,active,2018,42.02.32.00.00,,
1235xtw01_red_os,Single Level Product Style,1235XTW01 RED OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>AMARANT BEACH BLANKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Round duplex towell with decorative fringes</p>,AMARANT BEACH BLANKET,Round duplex towell with decorative fringes,,,,,,SPRING 2018,COLOMBIA,,,,AMARANT BEACH BLANKET,,active,2018,63.07.90.90.00,,
1238xcp02_azul_os,Single Level Product Style,1238XCP02 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CRYSTAL KNOT VISOR</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Knot visor</p>,CRYSTAL KNOT VISOR,Knot visor,,,,,,SPRING 2018,COLOMBIA,,,,CRYSTAL KNOT VISOR,,active,2018,65.07.00.00.00,,
1238xcp01_red_os,Single Level Product Style,1238XCP01 RED OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>MULATA KNOT VISOR</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Knot visor</p>,MULATA KNOT VISOR,Knot visor,,,,,,SPRING 2018,COLOMBIA,,,,MULATA KNOT VISOR,,active,2018,65.07.00.00.00,,
1231xcp03_multicolor_os,Single Level Product Style,1231XCP03 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>AMAZON CAP</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Beach cap</p>,AMAZON CAP,Beach cap,,,,,,SPRING 2018,COLOMBIA,,,,AMAZON CAP,,active,2018,65.06.99.00.00,,
1231xcp02_multicolor_os,Single Level Product Style,1231XCP02 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>AMARANT MULATA CAP</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Beach cap</p>,AMARANT MULATA CAP,Beach cap,,,,,,SPRING 2018,COLOMBIA,,,,AMARANT MULATA CAP,,active,2018,65.06.99.00.00,,
1237xtc01_azul_os,Single Level Product Style,1237XTC01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>AMAZON COMPUTER CASE</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Padded computer bag with short straps and one removible long strap, ooutside pocket</p>",AMAZON COMPUTER CASE,"Padded computer bag with short straps and one removible long strap, ooutside pocket",,,,,,SPRING 2018,COLOMBIA,,,,AMAZON COMPUTER CASE,,active,2018,42.02.92.00.00,,
1253xpk01_multicolor_os,Single Level Product Style,1253XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CARD KEEPER</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Coin purse with zipper and card spaces, carabiner to hold it from bags and purses</p>",CARD KEEPER,"Coin purse with zipper and card spaces, carabiner to hold it from bags and purses",,,,,,SPRING 2018,COLOMBIA,,,,CARD KEEPER,,active,2018,42.02.32.00.00,,
1258xpk01_multicolor_os,Single Level Product Style,1258XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>WET BIKINI POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Two bags pocket kit, with intern plastic to keep wet bikinis</p>",WET BIKINI POCKET,"Two bags pocket kit, with intern plastic to keep wet bikinis",,,,,,SPRING 2018,COLOMBIA,,,,WET BIKINI POCKET,,active,2018,42.02.32.00.00,,
1248xpk01_multicolor_os,Single Level Product Style,1248XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>COCONUT POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Large pocket with outside little pocket</p>,COCONUT POCKET,Large pocket with outside little pocket,,,,,,SPRING 2018,COLOMBIA,,,,COCONUT POCKET,,active,2018,42.02.32.00.00,,
1229xwk01_azul_os,Single Level Product Style,1229XWK01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>HERITAGE LOVELY WEEKENDER</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Duffle weekend bag with big capacity, outside pockets, two short straps  and one removible long strap</p>",HERITAGE LOVELY WEEKENDER,"Duffle weekend bag with big capacity, outside pockets, two short straps  and one removible long strap",,,,,,SPRING 2018,COLOMBIA,,,,HERITAGE LOVELY WEEKENDER,,active,2018,42.02.92.00.00,,
1257xha01_multicolor_os,Single Level Product Style,1257XHA01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<H4>ASSORTED SCRUNCHIES</H4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<P>Two  head scrunchies kit</P>,ASSORTED SCRUNCHIES,Two  head scrunchies kit,,,,,,SPRING 2018,COLOMBIA,,,,ASSORTED SCRUNCHIES,,active,2018,61.17.80.90.00,,
1255xha01_multicolor_os,Single Level Product Style,1255XHA01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ASSORTED GIRLY TURBAN</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Turban with decorative tie</p>,ASSORTED GIRLY TURBAN,Turban with decorative tie,,,,,,SPRING 2018,COLOMBIA,,,,ASSORTED GIRLY TURBAN,,active,2018,61.17.80.90.00,,
1252xpk01_multicolor_os,Single Level Product Style,1252XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ASSORTED BEAUTY POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Little cosmetic pocket with zipper</p>,ASSORTED BEAUTY POCKET,Little cosmetic pocket with zipper,,,,,,SPRING 2018,COLOMBIA,,,,ASSORTED BEAUTY POCKET,,active,2018,42.02.32.00.00,,
1241xte01_beige_os,Single Level Product Style,1241XTE01 BEIGE OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>REAL MERMAID TOTE</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Duplex beach bag with decorative fringes and embroidery</p>,REAL MERMAID TOTE,Duplex beach bag with decorative fringes and embroidery,,,,,,SPRING 2018,COLOMBIA,,,,REAL MERMAID TOTE,,active,2018,42.02.22.00.00,,
1245xvr01_azul_os,Single Level Product Style,1245XVR01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ROLL ME UP</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Packable bag in light fabric, ideal for traveling</p>",ROLL ME UP,"Packable bag in light fabric, ideal for traveling",,,,,,SPRING 2018,COLOMBIA,,,,ROLL ME UP,,active,2018,42.02.22.00.00,,
1232xpk01_multicolor_os,Single Level Product Style,1232XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>ASSORTED DOUBLE POCKET</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Cosmetic purse with three pockets, inside transparent plastic, ideal for traveling</p>",ASSORTED DOUBLE POCKET,"Cosmetic purse with three pockets, inside transparent plastic, ideal for traveling",,,,,,SPRING 2018,COLOMBIA,,,,ASSORTED DOUBLE POCKET,,active,2018,42.02.32.00.00,,
1249xvr01_multicolor_os,Single Level Product Style, 1249XVR01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>DRAWSTRING BAG</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Tule with drawstring as straps</p>  ,DRAWSTRING BAG,Tule with drawstring as straps,,,,,,SPRING 2018,COLOMBIA,,,,DRAWSTRING BAG,,active,2018,42.02.92.00.00,,
1233xtw01_azul_os,Single Level Product Style,1233XTW01 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CRYSTAL BLUE BEACH TOWEL</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>",<p>Rectangular duplex towell with pockets and decorative fringes</p>  ,CRYSTAL BLUE BEACH TOWEL,Rectangular duplex towell with pockets and decorative fringes,,,,,,SPRING 2018,COLOMBIA,,,,CRYSTAL BLUE BEACH TOWEL,,active,2018,63.02.93.00.00,,
1244xpk01_multicolor_os,Single Level Product Style,1244XPK01 MULTICOLOR OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>FESTIVAL BIKINI BAG</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Two bags pocket kit ideal for packaging, in light fabric</p>  ",FESTIVAL BIKINI BAG,"Two bags pocket kit ideal for packaging, in light fabric",,,,,,SPRING 2018,COLOMBIA,,,,FESTIVAL BIKINI BAG,,active,2018,42.02.12.10.00,,
1242xtr02_azul_os,Single Level Product Style,1242XTR02 AZUL OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>DENIM MAAJICAL TOTE</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Denim tote bag with its own fridges made on its fabric, synthetic straps and decorative pom pom. <br/>Inside little pocket with zipper</p>  ",DENIM MAAJICAL TOTE,"Denim tote bag with its own fridges made on its fabric, synthetic straps and decorative pom pom. Inside little pocket with zipper",,,,,,SPRING 2018,COLOMBIA,,,,DENIM MAAJICAL TOTE,,active,2018,42.02.22.00.00,,
1242xtr01_beige_os,Single Level Product Style,1242XTR01 BEIGE OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CANVAS MAAJICAL TOTE</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Canvas tote bag, synthetic straps and decorative pom pom. <br/>Inside little pocket with zipper</p>  ",CANVAS MAAJICAL TOTE,"Canvas tote bag, synthetic straps and decorative pom pom. Inside little pocket with zipper",,,,,,SPRING 2018,COLOMBIA,,,,CANVAS MAAJICAL TOTE,,active,2018,42.02.22.00.00,,
1243xbp01_beige_os,Single Level Product Style, 1243XBP01 BEIGE OS,active,Maaji,Colombia,1,1,,,"<p><b>Delivery</b>
<br/>FREE POSTAGE within COLOMBIA for orders over COP $250.000. Orders under COP $250.000 will incur a shipping fee.
Delivery times are dependent on your location but are typically 2-3 working days. Regional areas outside of metro areas, typically add an additional day to delivery estimates.</p>
<br/>
</p><b>Returns</b>
<br/>Returns and exchanges are accepted on merchandise within 30 
days of receipt. The product must be returned in original condition. Worn, washed or otherwise used products will not be accepted. All products must also have the original tags and hygienic protection sticker intact. Original shipping charges will not be refunded unless the return items are deemed defective. Our Returns Policy is in addition to your rights under the Colombian Consumer Law.</p>",<h4>CANVAS BACKPACK</h4>,,"<p>Do not soak, do not iron, do not use soaps with decolorizing</p>","<p>Medium backpack in canvas, adjustable straps and decorative pompom</p>  ",CANVAS BACKPACK,"Medium backpack in canvas, adjustable straps and decorative pompom",,,,,,SPRING 2018,COLOMBIA,,,,CANVAS BACKPACK,,active,2018,42.02.92.00.00,,
